ID,英文名稱,中文名稱,圖片,更新時間,更新日期
5462999,extreme halophile,極端嗜鹽生物,,,2019-10-31
5463000,extreme thermophile,極端嗜熱生物,,,2019-10-31
5463001,extremophile,嗜極端生物,,,2019-10-31
5463002,eyepiece micrometer,目鏡測微器,,,2019-10-31
5463003,F1 generation {first filial generation},第一子代,,,2019-10-31
5463004,F2 generation {second filial generation},第二子代,,,2019-10-31
5463005,facial nerve,顏面神經,,,2019-10-31
5463006,Family,科 {分類學},,,2019-10-31
5463007,fat,脂肪,,,2019-10-31
5463008,fatty acid,脂肪酸,,,2019-10-31
5463009,favism {glucose-6-phosphate dehydrogenase deficiency; G6PD deficiency},蠶豆症；葡萄糖-6-磷酸[鹽]去氫酶缺乏症,,,2019-10-31
5463010,feedback control,回饋控制,,,2019-10-31
5463011,feedback inhibition,回饋抑制[作用],,,2019-10-31
5463012,feeding center,餓覺中樞；攝食中樞,,,2019-10-31
5463013,fermentation,發酵[作用],,,2019-10-31
5463014,fermentation chamber,發酵槽,,,2019-10-31
5463015,fern,蕨類[植物],,,2019-10-31
5463016,fertilized egg,受精卵,,,2019-10-31
5463017,fetus,胎兒,,,2019-10-31
5463018,fiber,纖維,,,2019-10-31
5463019,fibril,纖絲,,,2019-10-31
5463020,fibrin,血纖維蛋白,,,2019-10-31
5463021,fibrinase,血纖維酶,,,2019-10-31
5463022,fibrinogen,血纖維蛋白原,,,2019-10-31
5463023,fibrinolysin,血纖維蛋白溶酶,,,2019-10-31
5463024,fibrous root,鬚根,,,2019-10-31
5463025,fibrous root system,鬚根系,,,2019-10-31
5463026,filament,花絲 {植物},,,2019-10-31
5463027,filtrate,濾液,,,2019-10-31
5463028,filtration,過濾[作用],,,2019-10-31
5463029,fimbriae,繖毛,,,2019-10-31
5463030,first filial generation {=F1 generation},第一子代,,,2019-10-31
5463031,first messenger,第一傳訊者,,,2019-10-31
5463032,fission,分裂[生殖],,,2019-10-31
5463033,fixed action pattern {=FAP},固定行為模式,,,2019-10-31
5463034,fixed macrophage,固著型巨噬細胞,,,2019-10-31
5463035,flagella {sing. flagellum},鞭毛,,,2019-10-31
5463036,flagellum {pl. flagella},鞭毛,,,2019-10-31
5463037,flame cell,焰細胞,,,2019-10-31
5463038,flatworm,扁蟲,,,2019-10-31
5463039,flavin adenine dinucleotide {=FAD},黃素腺嘌呤二核苷酸,,,2019-10-31
5463040,flavivirus,黃病毒,,,2019-10-31
5463041,flavonoid,類黃酮,,,2019-10-31
5463042,flexor muscle {flexor},屈肌,,,2019-10-31
5463043,flexor {flexor muscle},屈肌,,,2019-10-31
5463044,floor stratum,地被層,,,2019-10-31
5463045,floral envelope,花被,,,2019-10-31
5463046,florigen,開花素,,,2019-10-31
5463047,flower,花,,,2019-10-31
5463048,flowering plant,開花植物,,,2019-10-31
5463049,fluid mosaic model {fluid-mosaic model},流體鑲嵌模型,,,2019-10-31
5463050,folacin {folic acid},葉酸,,,2019-10-31
5463051,folic acid {folacin},葉酸,,,2019-10-31
5463052,follicle,濾泡 {動物}；蓇葖果 {植物},,,2019-10-31
5463053,follicle stage {follicular phase},濾泡期,,,2019-10-31
5463054,follicle-stimulating hormone {=FSH},濾泡刺激素,,,2019-10-31
5463055,follicular phase {follicle stage},濾泡期,,,2019-10-31
5463056,fontanel,囟門,,,2019-10-31
5463057,food chain,食物鏈,,,2019-10-31
5463058,food vacuole,食泡；食胞,,,2019-10-31
5463059,food web,食物網,,,2019-10-31
5463060,foolish seedling disease {Bakanae},笨苗病,,,2019-10-31
5463061,foot-and-mouth disease,口蹄疫,,,2019-10-31
5463062,forebrain,前腦,,,2019-10-31
5463063,foreign DNA,外源DNA,,,2019-10-31
5463064,foreign gene,外源基因,,,2019-10-31
5463065,fornix,穹窿,,,2019-10-31
5463066,fossil,化石,,,2019-10-31
5463067,fossil fuel,化石燃料,,,2019-10-31
5463068,fovea,中央窩,,,2019-10-31
5463069,fragmentation,斷裂 {染色體}；斷裂生殖 {動物、藻類},,,2019-10-31
5463070,frameshift mutation,框移突變,,,2019-10-31
5463071,free nerve ending,游離神經末梢,,,2019-10-31
5463072,freeze-fracture method,冷凍碎裂法,,,2019-10-31
5463073,freshwater ecosystem,淡水生態系,,,2019-10-31
5463074,frontal lobe,額葉,,,2019-10-31
5463075,fructose,果糖,,,2019-10-31
5463076,fruit,果實,,,2019-10-31
5463077,FSH {follicle-stimulating hormone},濾泡刺激素,,,2019-10-31
5463078,fungus {pl. fungi},真菌,,,2019-10-31
5463079,G cell,G細胞,,,2019-10-31
5463080,GA {gibberellic acid; gibberellin},吉貝素；激勃素,,,2019-10-31
5463081,galactose,半乳糖,,,2019-10-31
5463082,galactosemia,半乳糖血症,,,2019-10-31
5463083,Galapagos Islands,加拉巴哥群島,,,2019-10-31
5463084,Galápagos Islands,加拉巴哥群島,,,2019-10-31
5463085,gall bladder {cholecyst},膽囊,,,2019-10-31
5463086,gall stone,膽結石,,,2019-10-31
5463087,Gamete,配子,,,2019-10-31
5463088,gametophyte,配子體,,,2019-10-31
5463089,gamma ray {γ-ray},伽馬射線；γ射線,,,2019-10-31
5463090,ganglia {sing. ganglion},神經節,,,2019-10-31
5463091,ganglion {pl. ganglia},神經節,,,2019-10-31
5463092,gap junction,隙型連結,,,2019-10-31
5463093,Garrulax morrisonianus,臺灣噪鶥,,,2019-10-31
5463094,gastric gland,胃腺,,,2019-10-31
5463095,gastric juice,胃液,,,2019-10-31
5463096,gastrin,胃泌素,,,2019-10-31
5463097,gastropods,腹足類,,,2019-10-31
5463098,gastrovascular cavity,消化循環腔,,,2019-10-31
5463099,gastrula,原腸胚,,,2019-10-31
5463100,gated ion channel,閘控[型]離子通道,,,2019-10-31
5463101,gel electrophoresis,凝膠電泳,,,2019-10-31
5463102,gemmae cup,孢芽杯,,,2019-10-31
5463103,gene,基因,,,2019-10-31
5463104,gene amplification,基因擴增,,,2019-10-31
5463105,gene chip,基因晶片,,,2019-10-31
5463106,gene cloning,基因選殖,,,2019-10-31
5463107,gene expression,基因表現,,,2019-10-31
5463108,gene gun,基因槍,,,2019-10-31
5463109,gene knockout,基因剔除,,,2019-10-31
5463110,gene library,基因庫,,,2019-10-31
5463111,gene linkage,基因連鎖,,,2019-10-31
5463112,gene mutation,基因突變,,,2019-10-31
5463113,gene pool,基因池,,,2019-10-31
5463114,gene therapy,基因療法,,,2019-10-31
5463115,gene transfer,基因轉移,,,2019-10-31
5463116,generative nucleus,生殖核,,,2019-10-31
5463117,generic name,屬名,,,2019-10-31
5463118,genetic code,遺傳密碼,,,2019-10-31
5463119,genetic counseling,遺傳諮詢,,,2019-10-31
5463120,genetic diversity,基因多樣性；遺傳多樣性,,,2019-10-31
5463121,genetic drift,基因漂變；遺傳漂變,,,2019-10-31
5463122,genetic engineering,基因工程；遺傳工程,,,2019-10-31
5463123,genetic equilibrium,遺傳平衡,,,2019-10-31
5463124,genetic exchange,基因交換,,,2019-10-31
5463125,genetic information,遺傳資訊,,,2019-10-31
5463126,genetic linkage group,基因連鎖群,,,2019-10-31
5463127,genetic linkage map,基因連鎖圖,,,2019-10-31
5463128,genetic loci {sing. genetic locus},基因座,,,2019-10-31
5463129,genetic locus {pl. genetic loci},基因座,,,2019-10-31
5463130,genetic map,遺傳圖譜,,,2019-10-31
5463131,genetic material,遺傳物質,,,2019-10-31
5463132,genetic message,遺傳訊息,,,2019-10-31
5463133,genetic profiling,基因剖析,,,2019-10-31
5463134,genetic recombination,基因重組,,20191219修訂,2019-12-19
5463135,genetic variation,遺傳變異,,,2019-10-31
5463136,genetically modified organism  {=GMO},基改生物；基因改造生物,,,2019-10-31
5463137,genetics,遺傳學,,,2019-10-31
5463138,genome,基因體,,,2019-10-31
5463139,genotype,基因型,,,2019-10-31
5463140,genotype frequency,基因型頻率,,,2019-10-31
5463141,genus,屬 {分類階層},,,2019-10-31
5463142,geographic isolation,地理隔離,,,2019-10-31
5463143,geologic time,地質年代,,,2019-10-31
5463144,geological time scale {geological time table},地質時標；地質年代表,,,2019-10-31
5463145,geological time table {geological time scale},地質時標；地質年代表,,,2019-10-31
5463146,germ cell,生殖細胞,,,2019-10-31
5463147,GHG {green house gas},溫室氣體,,,2019-10-31
5463148,ghrelin,飢餓肽,,,2019-10-31
5463149,giantism,巨人症,,,2019-10-31
5463150,gibberellic acid {=GA; gibberellin},吉貝素；激勃素,,,2019-10-31
5463151,gibberellin {gibberellic acid; GA},吉貝素；激勃素,,,2019-10-31
5463152,gibbon,長臂猿,,,2019-10-31
5463153,gill,鰓 {動物}；菌褶 {植物},,,2019-10-31
5463154,gill arch,鰓弧,,,2019-10-31
5463155,gill filament,鰓絲,,,2019-10-31
5463156,gill fungi {sing. gill fungus},傘菌；有褶[真]菌,,,2019-10-31
5463157,gill fungus {pl. gill fungi},傘菌；有褶[真]菌,,,2019-10-31
5463158,gill slit,鰓裂,,,2019-10-31
5463159,glaucoma,青光眼,,,2019-10-31
5463160,glia {glial cell; neuroglia},神經膠細胞,,,2019-10-31
5463161,glial cell {glia; neuroglia},神經膠細胞,,,2019-10-31
5463162,globus pallidus,蒼白球,,,2019-10-31
5463163,glomeruli {sing. glomerulus},絲球體,,,2019-10-31
5463164,glomerulus {pl. glomeruli},絲球體,,,2019-10-31
5463165,glossopharyngeal nerve,舌咽神經,,,2019-10-31
5463166,Glossopteris,舌羊齒屬,,,2019-10-31
5463167,glottis,聲門,,,2019-10-31
5463168,glucagon,升糖素,,,2019-10-31
5463169,glucocorticoid,糖皮質素,,,2019-10-31
5463170,gluconeogenesis {glyconeogenesis},糖質新生[作用],,,2019-10-31
5463171,glucose,葡萄糖,,,2019-10-31
5463172,glutamic acid,麩胺酸,,,2019-10-31
5463173,glyceric acid,甘油酸,,,2019-10-31
5463174,glycerol,甘油,,,2019-10-31
5463175,glycogen,肝醣；肝糖；糖原,,,2019-10-31
5463176,glycogen storage disease type II,第二型肝醣儲積症,,,2019-10-31
5463177,glycolipid,醣脂質,,,2019-10-31
5463178,glycolysis,糖[酵]解[作用],,,2019-10-31
5463179,glyconeogenesis {gluconeogenesis},糖質新生[作用],,,2019-10-31
5463180,glycoprotein,醣蛋白,,,2019-10-31
5463181,glycosuria,糖尿,,,2019-10-31
5463182,glyoxysome,乙醛酸體,,,2019-10-31
5463183,GMO {genetically modified organism},基改生物,,,2019-10-31
5463184,GnRH {gonadotropin-releasing hormone},促性腺素釋素,,,2019-10-31
5463185,goblet cell,杯狀細胞,,,2019-10-31
5463186,goiter,甲狀腺腫,,,2019-10-31
5463187,Golgi apparatus {Golgi body; Golgi complex},高基[氏]體,,,2019-10-31
5463188,gonad,性腺；生殖腺,,,2019-10-31
5463189,gonadotropin-releasing hormone {=GnRH},促性腺素釋素,,,2019-10-31
5463190,Gonium,盤藻[屬],,,2019-10-31
5463191,gorilla,大猩猩,,,2019-10-31
5463192,graded potential,階梯性電位,,,2019-10-31
5463193,gradient,梯度,,,2019-10-31
5463194,gradualism,漸變說,,,2019-10-31
5463195,grafting,嫁接,,,2019-10-31
5463196,Gram stain,革蘭[氏]染色,,,2019-10-31
5463197,Gram-negative bacteria,革蘭[氏]陰性菌,,,2019-10-31
5463198,Gram-positive bacteria,革蘭[氏]陽性菌,,,2019-10-31
5463199,granulocyte,顆粒球,,,2019-10-31
5463200,granum {pl. grana},葉綠餅,,,2019-10-31
5463201,gravitropism,向地性,,,2019-10-31
5463202,gray matter,灰質,,,2019-10-31
5463203,green algae,綠藻,,,2019-10-31
5463204,green fluorescent protein {=GFP},綠螢光蛋白,,,2019-10-31
5463205,green house effect,溫室效應,,,2019-10-31
5463206,green house gas {=GHG},溫室氣體,,,2019-10-31
5463207,ground meristem,基本分生組織,,,2019-10-31
5463208,ground state,基態,,,2019-10-31
5463209,ground tissue,基本組織,,,2019-10-31
5463210,growth factor,生長因子,,,2019-10-31
5463211,growth hormone {somatotrophin; somatotropin},生長激素,,,2019-10-31
5463212,growth pattern,成長模式,,,2019-10-31
5463213,growth point,生長點,,,2019-10-31
5463214,guanine,鳥[糞]嘌呤,,,2019-10-31
5463215,guard cell,保衛細胞,,,2019-10-31
5463216,gustatory cell,味[覺]細胞,,,2019-10-31
5463217,gustatory hair,味毛,,,2019-10-31
5463218,gustatory sensation,味覺,,,2019-10-31
5463219,guttation,泌溢[現象],,,2019-10-31
5463220,gymnosperm,裸子植物,,,2019-10-31
5463221,H+ pump {proton pump},質子幫浦；質子泵；氫離子幫浦；氫離子泵,,,2019-10-31
5463222,habitat,棲地,,,2019-10-31
5463223,habitat isolation,棲地隔離,,,2019-10-31
5463224,habituation,習慣化,,,2019-10-31
5463225,haemophilia {hemophilia},血友病,,,2019-10-31
5463226,hair cell,毛細胞,,,2019-10-31
5463227,hairy root,毛狀根,,,2019-10-31
5463228,halophile,嗜鹽菌,,,2019-10-31
5463229,haploid,單倍[的]；單倍體,,,2019-10-31
5463230,haploid cell,單倍體細胞,,,2019-10-31
5463231,haploid gamete,單倍體配子,,,2019-10-31
5463232,haploid organism,單倍體生物,,,2019-10-31
5463233,Hashimoto's thyroiditis,橋本[氏]甲狀腺炎,,,2019-10-31
5463234,Haversian canal,哈維[氏]管,,,2019-10-31
5463235,Haversian system,哈維[氏]系統,,,2019-10-31
5463236,hay fever,花粉熱,,,2019-10-31
5463237,HD {Huntington's disease; Huntington's chorea},杭丁頓[氏][舞蹈]症,,,2019-10-31
5463238,heart rate,心跳速率,,,2019-10-31
5463239,heart sound,心音,,,2019-10-31
5463240,heartbeat,心搏,,,2019-10-31
5463241,heartwood,心材,,,2019-10-31
5463242,heat pollution,熱汙染,,,2019-10-31
5463243,heat shock protein {=HSP},熱休克蛋白,,,2019-10-31
5463244,heavy chain,重鏈,,,2019-10-31
5463245,Heimlich maneuver,哈姆立克[氏]急救法,,,2019-10-31
5463246,helicase,解旋酶,,,2019-10-31
5463247,Helicobacter pylori,幽門螺旋桿菌,,,2019-10-31
5463248,helper T cell {helper T lymphocyte; TH},輔助[型]T細胞；輔助[型]T淋巴球,,,2019-10-31
5463249,helper T lymphocyte {helper T cell; TH},輔助[型]T細胞；輔助[型]T淋巴球,,,2019-10-31
5463250,hematopoietic stem cell,造血幹細胞,,,2019-10-31
5463251,heme,血基質,,,2019-10-31
5463252,hemicellulose,半纖維素,,,2019-10-31
5463253,hemocoel,血腔,,,2019-10-31
5463254,hemodialysis,血液透析,,,2019-10-31
5463255,hemoglobin,血紅素；血紅蛋白,,,2019-10-31
5463256,hemolymph,血淋巴,,,2019-10-31
5463257,hemolysin,溶血素,,,2019-10-31
5463258,hemolysis,溶血[作用],,,2019-10-31
5463259,hemophilia {haemophilia},血友病,,,2019-10-31
5463260,hepatic portal vein,肝門[靜]脈,,,2019-10-31
5463261,hepatic vein,肝靜脈,,,2019-10-31
5463262,hepatitis,肝炎,,,2019-10-31
5463263,hepatitis B,B型肝炎,,,2019-10-31
5463264,hepatitis B virus,B型肝炎病毒,,,2019-10-31
5463265,Hepatophyta {liverwort},蘚類,,,2019-10-31
5463266,herbaceous,草本[的],,,2019-10-31
5463267,herbaceous stem,草本莖,,,2019-10-31
5463268,herbaceous stratum,草本層,,,2019-10-31
5463269,herbicide,殺草劑,,,2019-10-31
5463270,hereditary disease,遺傳疾病,,,2019-10-31
5463271,heredity {inheritance},遺傳,,,2019-10-31
5463272,heritable immunodeficiency,先天免疫不全；先天免疫缺失,,,2019-10-31
5463273,hermaphrodite,雌雄同體,,,2019-10-31
5463274,herpesvirus,疱疹病毒,,,2019-10-31
5463275,heterochromatin,異染色質,,,2019-10-31
5463276,heterocyst,異形細胞,,,2019-10-31
5463277,heteropolysaccharide,異元多醣,,,2019-10-31
5463278,heterotroph,異營生物,,,2019-10-31
5463279,heterozygote,異[基因]型合子,,,2019-10-31
5463280,heterozygous,異[基因]型組合[的],,,2019-10-31
5463281,hexose,六碳醣,,,2019-10-31
5463282,high density lipoprotein {=HDL},高密度脂蛋白,,,2019-10-31
5463283,Hill reaction,希爾[氏]反應,,,2019-10-31
5463284,hilum,種臍 {植物}；門 {解剖},,,2019-10-31
5463285,hippocampus,海馬迴,,,2019-10-31
5463286,hirudin,水蛭素,,,2019-10-31
5463287,His bundle,希氏束,,,2019-10-31
5463288,histamine,組織胺,,,2019-10-31
5463289,histidine,組胺酸,,,2019-10-31
5463290,histone,組[織]蛋白,,,2019-10-31
5463291,HIV {human immunodeficiency virus},人類免疫不全症病毒；人類免疫缺失症病毒；愛滋病毒,,,2019-10-31
5463292,HLA {human leukocyte antigen},人類白血球抗原,,,2019-10-31
5463293,HMS Beagle,小獵犬號,,,2019-10-31
5463294,Hominidae,人科,,,2019-10-31
5463295,Homo,人[屬],,,2019-10-31
5463296,Homo erectus,直立人,,,2019-10-31
5463297,Homo habilis,巧人,,,2019-10-31
5463298,Homo neanderthalensis {Neanderthal Man},尼安德塔人,,,2019-10-31
5463299,Homo pekinensis {Peking Man},北京猿人,,,2019-10-31
5463300,Homo sapiens,智人,,,2019-10-31
5463301,homocystinuria,高胱胺酸尿症,,,2019-10-31
5463302,homologous,同源[的],,,2019-10-31
5463303,homologous chromosome,同源染色體,,,2019-10-31
5463304,homologous structure,同源構造,,,2019-10-31
5463305,homology,同源[性],,,2019-10-31
5463306,homopolyploid,同源多倍體,,,2019-10-31
5463307,homozygote,同[基因]型合子,,,2019-10-31
5463308,homozygous,同[基因]型組合[的],,,2019-10-31
5463309,hormone,激素；荷爾蒙,,,2019-10-31
5463310,hormone-receptor complex,激素—受體複合體,,,2019-10-31
5463311,hornwort,角蘚,,,2019-10-31
5463312,host,寄主；宿主,,,2019-10-31
5463313,host cell,宿主細胞,,,2019-10-31
5463314,HSP {heat shock protein},熱休克蛋白,,,2019-10-31
5463315,HTLV {human T lymphocyte virus},人類T淋巴球病毒,,,2019-10-31
5463316,human chorionic gonadotropin,人類絨毛膜促性腺素,,,2019-10-31
5463317,Human Genome Project,人類基因體計畫,,,2019-10-31
5463318,human immunodeficiency virus {=HIV},人類免疫不全症病毒；人類免疫缺失症病毒；愛滋病毒,,,2019-10-31
5463319,human leukocyte antigen {=HLA},人類白血球抗原,,,2019-10-31
5463320,human papilloma virus,人類乳突狀瘤病毒,,,2019-10-31
5463321,human T lymphocyte virus {=HTLV},人類T淋巴球病毒,,,2019-10-31
5463322,humoral immune response,體液免疫反應,,,2019-10-31
5463323,humoral immunity,體液免疫,,,2019-10-31
5463324,humoral transmission,體液傳播,,,2019-10-31
5463325,huntingtin,杭丁頓[氏]蛋白,,,2019-10-31
5463326,Huntington's chorea {Huntington's disease; HD},杭丁頓[氏][舞蹈]症,,,2019-10-31
5463327,Huntington's disease {=HD; Huntington's chorea},杭丁頓[氏][舞蹈]症,,,2019-10-31
5463328,hyaline cartilage,透明軟骨,,,2019-10-31
5463329,hybridization,雜合；雜交,,,2019-10-31
5463330,hybridoma,融合瘤,,,2019-10-31
5463331,hydathode,泌液器；出水孔,,,2019-10-31
5463332,hydrocarbon,碳氫化合物；烴,,,2019-10-31
5463333,hydrocarbon chain,碳氫鏈；烴鏈,,,2019-10-31
5463334,hydrogen bond,氫鍵,,,2019-10-31
5463335,hydrolytic enzyme,水解酵素,,,2019-10-31
5463336,hydroponics,水耕,,,2019-10-31
5463337,hydrosphere,水圈,,,2019-10-31
5463338,hydrothermal vent,海底熱泉,,,2019-10-31
5463339,hydroxyl group,羥基；氫氧根,,,2019-10-31
5463340,Hynobius formosanus,臺灣山椒魚,,,2019-10-31
5463341,hypermetropic eye,遠視眼,,,2019-10-31
5463342,hyperphagia,過食症,,,2019-10-31
5463343,hyperpia,遠視,,,2019-10-31
5463344,hyperpolarization,過極化,,,2019-10-31
5463345,hypertension,高血壓,,,2019-10-31
5463346,hyperthyroidism,甲狀腺機能亢進症,,,2019-10-31
5463347,hypertonic solution,高張溶液,,,2019-10-31
5463348,hyperventilation,過度換氣,,,2019-10-31
5463349,hypha {pl. hyphae},菌絲,,,2019-10-31
5463350,hyphae {sing. hypha},菌絲,,,2019-10-31
5463351,hyploid,單倍體,,,2019-10-31
5463352,hypocortisolism {Addison's disease; adrenal insufficiency},腎上腺皮質機能不足；艾迪森[氏]病,,,2019-10-31
5463353,hypocotyl,下胚軸,,,2019-10-31
5463354,hypogeal germination,地下型萌發,,,2019-10-31
5463355,hypoglossal nerve,舌下神經,,,2019-10-31
5463356,hypokalemia,低鉀血症,,,2019-10-31
5463357,hypothalamus,下視丘,,,2019-10-31
5463358,hypothesis,假說,,,2019-10-31
5463359,hypotonic,低張[的],,,2019-10-31
5463360,hypotonic solution,低張溶液,,,2019-10-31
5463361,hypoxanthine,次黃嘌呤,,,2019-10-31
5463362,Hyracotherium,始新馬[屬],,,2019-10-31
5463363,I band {for isotropic},I帶；明帶,,,2019-10-31
5463364,IAA {indole-3-acetic acid; indoleacetic acid},吲哚乙酸,,,2019-10-31
5463365,ice-minus bacteria,無霜菌,,,2019-10-31
5463366,identical twins,同卵雙胞胎,,,2019-10-31
5463367,ileum,迴腸,,,2019-10-31
5463368,imbibition,浸潤[作用],,,2019-10-31
5463369,immediate hypersensitivity,即發性過敏[反應],,,2019-10-31
5463370,immigration,遷入,,,2019-10-31
5463371,immunity,免疫力,,,2019-10-31
5463372,immunodeficiency,免疫缺失；免疫不全,,,2019-10-31
5463373,immunoglobulin,免疫球蛋白,,,2019-10-31
5463374,implant,植入,,,2019-10-31
5463375,implantation,著床,,,2019-10-31
5463376,imprinting,銘印；印記,,,2019-10-31
5463377,in vitro culture,體外培養,,,2019-10-31
5463378,in vitro fertilization {=IVF},體外人工受精,,,2019-10-31
5463379,in vivo,活體內,,,2019-10-31
5463380,inactivated vaccine,不活化疫苗,,,2019-10-31
5463381,inactive form,不活化型,,,2019-10-31
5463382,inbreeding,近親繁殖,,,2019-10-31
5463383,incomplete dominance,不完全顯性,,,2019-10-31
5463384,incomplete leaf,不完全葉,,,2019-10-31
5463385,incus,砧骨,,,2019-10-31
5463386,indigo,靛藍,,,2019-10-31
5463387,indole-3-acetic acid {=indoleacetic acid; IAA},吲哚乙酸,,,2019-10-31
5463388,indoleacetic acid {=indole-3-acetic acid; IAA},吲哚乙酸,,,2019-10-31
5463389,indolepropionic acid {=IPA},吲哚丙酸,,,2019-10-31
5463390,induced abortion,人工流產,,,2019-10-31
5463391,induced mutation,誘導突變,,,2019-10-31
5463392,induced pluripotent stem cell {=iPS cell},誘導性富潛能幹細胞,,,2019-10-31
5463393,inducer,誘導物,,,2019-10-31
5463394,inducible enzyme,可誘導型酵素,,,2019-10-31
5463395,inducible operon,可誘導型操縱組,,,2019-10-31
5463396,infantile paralysis {polio; poliomyelitis},脊髓灰質炎；小兒麻痺症,,,2019-10-31
5463397,infection,感染,,,2019-10-31
5463398,infectious disease,傳染病,,,2019-10-31
5463399,inferior vena cava,下大靜脈,,,2019-10-31
5463400,inflammation,發炎,,,2019-10-31
5463401,inflorescence,花序,,,2019-10-31
5463402,influenza,流行性感冒,,,2019-10-31
5463403,influenza virus,流感病毒,,,2019-10-31
5463404,infradian rhythm,亞日節律,,,2019-10-31
5463405,inheritance {heredity},遺傳,,,2019-10-31
5463406,inhibitory stimulus,抑制性刺激,,,2019-10-31
5463407,initiation codon {start codon},起始密碼子,,,2019-10-31
5463408,innate behavior,天生行為；本能行為,,,2019-10-31
5463409,innate immunity,先天性免疫,,,2019-10-31
5463410,inner cell mass,內細胞團,,,2019-10-31
5463411,inorganic,無機[的],,,2019-10-31
5463412,Insecta,昆蟲綱,,,2019-10-31
5463413,insecticide resistance,殺蟲劑抗性,,,2019-10-31
5463414,insectivorous plant,食蟲植物,,,2019-10-31
5463415,insect-pollinated flower {entomophilous flower},蟲媒花,,,2019-10-31
5463416,insertion,插入 {染色體},,,2019-10-31
5463417,insight,頓悟,,,2019-10-31
5463418,inspiration,吸氣,,,2019-10-31
5463419,insulin,胰島素,,,2019-10-31
5463420,insulin-dependent diabetes,胰島素依賴型糖尿病,,,2019-10-31
5463421,insulin-independent diabetes,非胰島素依賴型糖尿病,,,2019-10-31
5463422,integral membrane protein {integral protein},膜主體蛋白,,,2019-10-31
5463423,integral protein {integral membrane protein},膜主體蛋白,,,2019-10-31
5463424,integument,珠被,,,2019-10-31
5463425,intercalated disk,心間盤,,,2019-10-31
5463426,intercostal muscle,肋間肌,,,2019-10-31
5463427,interferon,干擾素,,,2019-10-31
5463428,intermediate,中間物,,,2019-10-31
5463429,intermediate filament,中間絲,,,2019-10-31
5463430,intermembrane space,膜間腔,,,2019-10-31
5463431,internal fertilization,體內受精,,,2019-10-31
5463432,internal intercostal muscle,內肋間肌,,,2019-10-31
5463433,internal respiration,內呼吸,,,2019-10-31
5463434,interneuron,聯絡神經元,,,2019-10-31
5463435,internode,節間,,,2019-10-31
5463436,interphase,間期 {細胞周期},,,2019-10-31
5463437,interspecific competition,種間競爭,,,2019-10-31
5463438,interstitial cell,間質細胞,,,2019-10-31
5463439,intertidal zone,潮間帶,,,2019-10-31
5463440,intervertebral disk,椎間盤,,,2019-10-31
5463441,intestinal gland,小腸腺,,,2019-10-31
5463442,intestine,腸,,,2019-10-31
5463443,intracellular digestion,胞內消化,,,2019-10-31
5463444,intracellular fluid,細胞內液,,,2019-10-31
5463445,intraspecific competition,種內競爭,,,2019-10-31
5463446,intrinsic factor,內在因子,,,2019-10-31
5463447,introduced species {alien species; exotic species},外來種,,,2019-10-31
5463448,intron,內含子,,,2019-10-31
5463449,inulin,菊糖,,,2019-10-31
5463450,inversion,倒位 {染色體},,,2019-10-31
5463451,invertebrate,無脊椎動物,,,2019-10-31
5463452,involuntary muscle,不隨意肌,,,2019-10-31
5463453,involuntary response,不隨意反應,,,2019-10-31
5463454,ion channel,離子通道,,,2019-10-31
5463455,IPA {indolepropionic acid},吲哚丙酸,,,2019-10-31
5463456,Ipomoea pes-caprae,馬鞍藤,,,2019-10-31
5463457,iris,虹膜,,,2019-10-31
5463458,islets of Langerhans {pancreatic islets},胰島,,,2019-10-31
5463459,isoflavon {isoflavone},異黃酮,,,2019-10-31
5463460,isoflavone {isoflavon},異黃酮,,,2019-10-31
5463461,isogamy,同形配子結合；同配接合,,,2019-10-31
5463462,isogenous,同源[的],,,2019-10-31
5463463,isolation,隔離；分離,,,2019-10-31
5463464,isotonic solution,等張溶液,,,2019-10-31
5463465,IVF {in vitro fertilization},體外人工受精,,,2019-10-31
5463466,Japanese encephalitis,日本腦炎,,,2019-10-31
5463467,jaundice,黃疸,,,2019-10-31
5463468,jejunum,空腸,,,2019-10-31
5463469,joint,關節,,,2019-10-31
5463470,Juniperus squamata,玉山圓柏；香青,,,2019-10-31
5463471,juxtaglomerular apparatus,近腎絲球器；近腎絲球構造,,,2019-10-31
5463472,juxtamedullary nephron,近髓質腎元,,,2019-10-31
5463473,Kandelia obovata,水筆仔,,,2019-10-31
5463474,Kaposi's sarcoma,卡波西[氏]肉瘤,,,2019-10-31
5463475,karyotype,核型,,,2019-10-31
5463476,karyotyping,核型分析,,,2019-10-31
5463477,keratin,角[質]蛋白,,,2019-10-31
5463478,kidney,腎[臟],,,2019-10-31
5463479,kidney dialysis,洗腎,,,2019-10-31
5463480,kinetic energy,動能,,,2019-10-31
5463481,kinetin,細胞裂殖素,,,2019-10-31
5463482,kinetochore,著絲點,,,2019-10-31
5463483,kingdom,界 {分類階層},,,2019-10-31
5463484,kinin,激肽,,,2019-10-31
5463485,Klinfelter syndrome,克萊恩菲特[氏]症,,,2019-10-31
5463486,knee-jerk reflex,膝跳反射,,,2019-10-31
5463487,Koch's postulates,柯霍[氏]準則,,,2019-10-31
5463488,Krebs cycle {citric acid cycle; tricarboxylic acid cycle; TCA cycle},克氏循環；檸檬酸循環；三羧酸循環,,,2019-10-31
5463489,Kuru disease,庫魯病,,,2019-10-31
